src_ip,window_start_epoch,window_end_epoch,total_requests,ratio_404,ratio_200,ratio_302,ratio_500,unique_url_ratio,unique_agent_ratio,size_mean,size_std,reqtime_mean,reqtime_std,label
192.168.56.101,1783980003.0,1783980004.0,32,0.03125,0.03125,0.8125,0.125,0.15625,1.0,2697.375,1249.3045502898804,0.0026562499999999,0.0013371933059584,malicious
192.168.56.101,1783980004.0,1783980005.0,69,0.0,0.0,1.0,0.0,0.0144927536231884,1.0,3344.0,0.0,0.0021304347826086,0.0008149516475077,malicious
192.168.56.101,1783980006.0,1783980007.0,32,0.0,0.0,1.0,0.0,0.03125,1.0,3344.0,0.0,0.00253125,0.0014786897705401,malicious
192.168.56.101,1783980007.0,1783980008.0,173,0.0,0.0,1.0,0.0,0.0057803468208092,1.0,3344.0,0.0,0.0020462427745664,0.0004663848035594,malicious
192.168.56.101,1783980008.0,1783980009.0,16,0.0,0.0625,0.8125,0.125,0.1875,1.0,2870.5,1020.9996327129604,0.0024375,0.0012732217992164,malicious
192.168.56.101,1784496154.0,1784496155.0,29,0.0,1.0,0.0,0.0,1.0,1.0,6506.517241379311,14271.506555131138,0.0032413793103448,0.0060266944815018,benign
192.168.56.101,1784496155.0,1784496156.0,2,0.0,1.0,0.0,0.0,1.0,1.0,1005.0,145.0,0.001,0.0,benign
192.168.56.101,1784496157.0,1784496158.0,7,0.1428571428571428,0.8571428571428571,0.0,0.0,1.0,1.0,292.57142857142856,163.28927630160544,0.0011428571428571,0.000832993127835,benign
192.168.56.101,1784496159.0,1784496160.0,1,0.0,1.0,0.0,0.0,1.0,1.0,9055.0,0.0,0.017,0.0,benign
192.168.56.101,1784496162.0,1784496163.0,1,0.0,1.0,0.0,0.0,1.0,1.0,9055.0,0.0,0.021,0.0,benign
192.168.56.101,1784496164.0,1784496165.0,1,0.0,1.0,0.0,0.0,1.0,1.0,9055.0,0.0,0.014,0.0,benign
192.168.56.101,1784496168.0,1784496169.0,1,0.0,1.0,0.0,0.0,1.0,1.0,682.0,0.0,0.002,0.0,benign
192.168.56.101,1784496175.0,1784496176.0,30,0.0,1.0,0.0,0.0,1.0,1.0,6318.3,14068.19280777267,0.003,0.0060055529859178,benign
192.168.56.101,1784496176.0,1784496177.0,1,0.0,1.0,0.0,0.0,1.0,1.0,1150.0,0.0,0.0,0.0,benign
192.168.56.101,1784496179.0,1784496180.0,1,0.0,1.0,0.0,0.0,1.0,1.0,9055.0,0.0,0.013,0.0,benign
192.168.56.101,1784496183.0,1784496184.0,1,0.0,1.0,0.0,0.0,1.0,1.0,9055.0,0.0,0.016,0.0,benign
192.168.56.101,1784496186.0,1784496187.0,1,0.0,1.0,0.0,0.0,1.0,1.0,9055.0,0.0,0.016,0.0,benign
192.168.56.101,1784496188.0,1784496189.0,1,0.0,1.0,0.0,0.0,1.0,1.0,9055.0,0.0,0.019,0.0,benign
192.168.56.101,1784496192.0,1784496193.0,1,0.0,1.0,0.0,0.0,1.0,1.0,9055.0,0.0,0.212,0.0,benign
192.168.56.101,1784496198.0,1784496199.0,17,0.0,1.0,0.0,0.0,1.0,1.0,8067.705882352941,18453.022828299163,0.0043529411764705,0.0077606941508103,benign
192.168.56.101,1784496199.0,1784496200.0,14,0.0,1.0,0.0,0.0,1.0,1.0,3824.857142857143,1610.7930104296393,0.0010714285714285,0.0005933302759227,benign
192.168.56.101,1784496202.0,1784496203.0,7,0.1428571428571428,0.8571428571428571,0.0,0.0,1.0,1.0,292.57142857142856,163.28927630160544,0.0011428571428571,0.000832993127835,benign
192.168.56.101,1784496206.0,1784496207.0,1,0.0,1.0,0.0,0.0,1.0,1.0,9055.0,0.0,0.015,0.0,benign
192.168.56.101,1784496211.0,1784496212.0,8,0.0,1.0,0.0,0.0,1.0,1.0,4750.75,6232.674822056739,0.00375,0.0051659945799429,benign
192.168.56.101,1784496212.0,1784496213.0,23,0.0,1.0,0.0,0.0,1.0,1.0,6638.826086956522,15647.394912092286,0.0027826086956521,0.0064871546770061,benign
192.168.56.101,1784496216.0,1784496217.0,1,0.0,1.0,0.0,0.0,1.0,1.0,9055.0,0.0,0.019,0.0,benign
192.168.56.101,1784496218.0,1784496219.0,1,0.0,1.0,0.0,0.0,1.0,1.0,9055.0,0.0,0.019,0.0,benign
192.168.56.101,1784496225.0,1784496226.0,23,0.0,1.0,0.0,0.0,1.0,1.0,7032.565217391304,15973.613431901804,0.0041304347826086,0.0072249829115253,benign
192.168.56.101,1784496226.0,1784496227.0,8,0.0,1.0,0.0,0.0,1.0,1.0,3618.75,1785.4519560884298,0.00125,0.0004330127018922,benign
192.168.56.101,1784496228.0,1784496229.0,1,0.0,1.0,0.0,0.0,1.0,1.0,9055.0,0.0,0.019,0.0,benign
192.168.56.101,1784496232.0,1784496233.0,1,0.0,1.0,0.0,0.0,1.0,1.0,9055.0,0.0,0.02,0.0,benign
192.168.56.101,1784496238.0,1784496239.0,29,0.0,1.0,0.0,0.0,1.0,1.0,6506.517241379311,14271.506555131138,0.0034827586206896,0.0074121088704398,benign
192.168.56.101,1784496239.0,1784496240.0,2,0.0,1.0,0.0,0.0,1.0,1.0,1005.0,145.0,0.001,0.0,benign
192.168.56.101,1784496240.0,1784496241.0,1,0.0,1.0,0.0,0.0,1.0,1.0,9055.0,0.0,0.019,0.0,benign
192.168.56.101,1784496242.0,1784496243.0,1,0.0,1.0,0.0,0.0,1.0,1.0,9055.0,0.0,0.018,0.0,benign
192.168.56.101,1784496245.0,1784496246.0,7,0.1428571428571428,0.8571428571428571,0.0,0.0,1.0,1.0,292.57142857142856,163.28927630160544,0.0011428571428571,0.0006388765649999,benign
192.168.56.101,1784496249.0,1784496250.0,1,0.0,1.0,0.0,0.0,1.0,1.0,682.0,0.0,0.002,0.0,benign
192.168.56.101,1784496254.0,1784496255.0,7,0.0,1.0,0.0,0.0,1.0,1.0,5143.714285714285,6569.652213327707,0.014,0.0274382423427074,benign
192.168.56.101,1784496255.0,1784496256.0,24,0.0,1.0,0.0,0.0,1.0,1.0,6445.541666666667,15345.96085288451,0.0022916666666666,0.0055862865324133,benign
192.168.56.101,1784496257.0,1784496258.0,1,0.0,1.0,0.0,0.0,1.0,1.0,9055.0,0.0,0.014,0.0,benign
192.168.56.101,1784496261.0,1784496262.0,1,0.0,1.0,0.0,0.0,1.0,1.0,9055.0,0.0,0.02,0.0,benign
192.168.56.101,1784496265.0,1784496266.0,1,0.0,1.0,0.0,0.0,1.0,1.0,9055.0,0.0,0.021,0.0,benign
192.168.56.101,1784496267.0,1784496268.0,7,0.1428571428571428,0.8571428571428571,0.0,0.0,1.0,1.0,292.57142857142856,163.28927630160544,0.0011428571428571,0.0003499271061118,benign
192.168.56.101,1784496270.0,1784496271.0,1,0.0,1.0,0.0,0.0,1.0,1.0,9055.0,0.0,0.02,0.0,benign
192.168.56.101,1784496276.0,1784496277.0,7,0.1428571428571428,0.8571428571428571,0.0,0.0,1.0,1.0,292.57142857142856,163.28927630160544,0.0008571428571428,0.0003499271061118,benign
192.168.56.101,1784496277.0,1784496278.0,29,0.0,1.0,0.0,0.0,1.0,1.0,6506.517241379311,14271.506555131138,0.0032758620689655,0.006705101257813,benign
192.168.56.101,1784496278.0,1784496279.0,2,0.0,1.0,0.0,0.0,1.0,1.0,1005.0,145.0,0.0005,0.0005,benign
192.168.56.101,1784496281.0,1784496282.0,1,0.0,1.0,0.0,0.0,1.0,1.0,682.0,0.0,0.003,0.0,benign
192.168.56.101,1784496283.0,1784496284.0,1,0.0,1.0,0.0,0.0,1.0,1.0,682.0,0.0,0.002,0.0,benign
192.168.56.101,1784496285.0,1784496286.0,1,0.0,1.0,0.0,0.0,1.0,1.0,682.0,0.0,0.002,0.0,benign
192.168.56.101,1784496289.0,1784496290.0,1,0.0,1.0,0.0,0.0,1.0,1.0,9055.0,0.0,0.016,0.0,benign
192.168.56.101,1784496295.0,1784496296.0,31,0.0,1.0,0.0,0.0,1.0,1.0,6151.580645161291,13869.5199995418,0.0036451612903225,0.0068275929121459,benign
192.168.56.101,1784496297.0,1784496298.0,7,0.1428571428571428,0.8571428571428571,0.0,0.0,1.0,1.0,292.57142857142856,163.28927630160544,0.001,0.0005345224838248,benign
192.168.56.101,1784496299.0,1784496300.0,1,0.0,1.0,0.0,0.0,1.0,1.0,9055.0,0.0,0.021,0.0,benign
192.168.56.101,1784496302.0,1784496303.0,1,0.0,1.0,0.0,0.0,1.0,1.0,9055.0,0.0,0.016,0.0,benign
192.168.56.101,1784496306.0,1784496307.0,1,0.0,1.0,0.0,0.0,1.0,1.0,682.0,0.0,0.002,0.0,benign
192.168.56.101,1784496309.0,1784496310.0,1,0.0,1.0,0.0,0.0,1.0,1.0,9055.0,0.0,0.014,0.0,benign
192.168.56.101,1784496314.0,1784496315.0,29,0.0,1.0,0.0,0.0,1.0,1.0,6506.517241379311,14271.506555131138,0.0033793103448275,0.0051689643670491,benign
192.168.56.101,1784496315.0,1784496316.0,2,0.0,1.0,0.0,0.0,1.0,1.0,1005.0,145.0,0.001,0.0,benign
192.168.56.101,1784496317.0,1784496318.0,1,0.0,1.0,0.0,0.0,1.0,1.0,9055.0,0.0,0.024,0.0,benign
192.168.56.101,1784496318.0,1784496319.0,1,0.0,1.0,0.0,0.0,1.0,1.0,9055.0,0.0,0.021,0.0,benign
192.168.56.101,1784496326.0,1784496327.0,29,0.0,1.0,0.0,0.0,1.0,1.0,6506.517241379311,14271.506555131138,0.0043448275862068,0.008518846700593,benign
192.168.56.101,1784496327.0,1784496328.0,2,0.0,1.0,0.0,0.0,1.0,1.0,1005.0,145.0,0.0015,0.0005,benign
192.168.56.101,1784496329.0,1784496330.0,1,0.0,1.0,0.0,0.0,1.0,1.0,9055.0,0.0,0.023,0.0,benign
192.168.56.101,1784496331.0,1784496332.0,1,0.0,1.0,0.0,0.0,1.0,1.0,9055.0,0.0,0.031,0.0,benign
192.168.56.101,1784496334.0,1784496335.0,1,0.0,1.0,0.0,0.0,1.0,1.0,9055.0,0.0,0.021,0.0,benign
192.168.56.101,1784496340.0,1784496341.0,29,0.0,1.0,0.0,0.0,1.0,1.0,6506.517241379311,14271.506555131138,0.0035862068965517,0.0079676814495392,benign
192.168.56.101,1784496341.0,1784496342.0,2,0.0,1.0,0.0,0.0,1.0,1.0,1005.0,145.0,0.0015,0.0005,benign
192.168.56.101,1784496344.0,1784496345.0,7,0.1428571428571428,0.8571428571428571,0.0,0.0,1.0,1.0,292.57142857142856,163.28927630160544,0.0014285714285714,0.0004948716593053,benign
192.168.56.101,1784496347.0,1784496348.0,1,0.0,1.0,0.0,0.0,1.0,1.0,682.0,0.0,0.002,0.0,benign
192.168.56.101,1784496351.0,1784496352.0,1,0.0,1.0,0.0,0.0,1.0,1.0,9055.0,0.0,0.019,0.0,benign
192.168.56.101,1784496356.0,1784496357.0,1,0.0,1.0,0.0,0.0,1.0,1.0,9055.0,0.0,0.018,0.0,benign
192.168.56.101,1784496358.0,1784496359.0,1,0.0,1.0,0.0,0.0,1.0,1.0,9055.0,0.0,0.016,0.0,benign
192.168.56.101,1784496365.0,1784496366.0,4,0.0,1.0,0.0,0.0,1.0,1.0,3140.25,3457.4540759784504,0.0075,0.0106887791632159,benign
192.168.56.101,1784496366.0,1784496367.0,27,0.0,1.0,0.0,0.0,1.0,1.0,6597.703703703704,14749.52483306148,0.0032592592592592,0.0073211646138544,benign
192.168.56.101,1784496369.0,1784496370.0,1,0.0,1.0,0.0,0.0,1.0,1.0,9055.0,0.0,0.029,0.0,benign
192.168.56.101,1784496371.0,1784496372.0,1,0.0,1.0,0.0,0.0,1.0,1.0,682.0,0.0,0.002,0.0,benign
192.168.56.101,1784496372.0,1784496373.0,6,0.1666666666666666,0.8333333333333334,0.0,0.0,1.0,1.0,227.66666666666663,40.23541833868375,0.0011666666666666,0.0003726779962499,benign
192.168.56.101,1784496373.0,1784496374.0,1,0.0,1.0,0.0,0.0,1.0,1.0,9055.0,0.0,0.019,0.0,benign
192.168.56.101,1784496380.0,1784496381.0,29,0.0,1.0,0.0,0.0,1.0,1.0,6506.793103448276,14272.919947202912,0.0028620689655172,0.0058174774597967,benign
192.168.56.101,1784496381.0,1784496382.0,2,0.0,1.0,0.0,0.0,1.0,1.0,1005.0,145.0,0.001,0.0,benign
192.168.56.101,1784496384.0,1784496385.0,1,0.0,1.0,0.0,0.0,1.0,1.0,9055.0,0.0,0.02,0.0,benign
192.168.56.101,1784496387.0,1784496388.0,7,0.1428571428571428,0.8571428571428571,0.0,0.0,1.0,1.0,292.57142857142856,163.28927630160544,0.0012857142857142,0.0004517539514526,benign
192.168.56.101,1784496393.0,1784496394.0,11,0.0,1.0,0.0,0.0,1.0,1.0,4342.818181818182,5360.549171632288,0.0041818181818181,0.0082442065809124,benign
192.168.56.101,1784496394.0,1784496395.0,20,0.0,1.0,0.0,0.0,1.0,1.0,7146.4,16720.34632536061,0.0035,0.0084053554356731,benign
192.168.56.101,1784496397.0,1784496398.0,1,0.0,1.0,0.0,0.0,1.0,1.0,9055.0,0.0,0.018,0.0,benign
192.168.56.101,1784496401.0,1784496402.0,7,0.1428571428571428,0.8571428571428571,0.0,0.0,1.0,1.0,292.57142857142856,163.28927630160544,0.0012857142857142,0.0008806305718527,benign
192.168.56.101,1784496403.0,1784496404.0,1,0.0,1.0,0.0,0.0,1.0,1.0,682.0,0.0,0.003,0.0,benign
192.168.56.101,1784496405.0,1784496406.0,1,0.0,1.0,0.0,0.0,1.0,1.0,682.0,0.0,0.002,0.0,benign
192.168.56.101,1784496413.0,1784496414.0,6,0.0,1.0,0.0,0.0,1.0,1.0,2711.0,2987.81307982946,0.0068333333333333,0.0099233170977361,benign
192.168.56.101,1784496414.0,1784496415.0,23,0.0,1.0,0.0,0.0,1.0,1.0,7496.652173913043,15803.212066480266,0.0039130434782608,0.0088313327738981,benign
192.168.56.101,1784496415.0,1784496416.0,2,0.0,1.0,0.0,0.0,1.0,1.0,1005.0,145.0,0.0015,0.0005,benign
192.168.56.101,1784496417.0,1784496418.0,1,0.0,1.0,0.0,0.0,1.0,1.0,682.0,0.0,0.002,0.0,benign
192.168.56.101,1784496418.0,1784496419.0,6,0.1666666666666666,0.8333333333333334,0.0,0.0,1.0,1.0,227.66666666666663,40.23541833868375,0.0015,0.0007637626158259,benign
192.168.56.101,1784496420.0,1784496421.0,1,0.0,1.0,0.0,0.0,1.0,1.0,9055.0,0.0,0.144,0.0,benign
192.168.56.101,1784496425.0,1784496426.0,1,0.0,1.0,0.0,0.0,1.0,1.0,682.0,0.0,0.004,0.0,benign
192.168.56.101,1784496432.0,1784496433.0,7,0.1428571428571428,0.8571428571428571,0.0,0.0,1.0,1.0,292.57142857142856,163.28927630160544,0.0014285714285714,0.0007284313590846,benign
192.168.56.101,1784496434.0,1784496435.0,1,0.0,1.0,0.0,0.0,1.0,1.0,682.0,0.0,0.002,0.0,benign
192.168.56.101,1784496438.0,1784496439.0,31,0.0,1.0,0.0,0.0,1.0,1.0,6151.580645161291,13869.519999541795,0.0045806451612903,0.0071109828436807,benign
192.168.56.101,1784496440.0,1784496441.0,1,0.0,1.0,0.0,0.0,1.0,1.0,9055.0,0.0,0.013,0.0,benign
192.168.56.101,1784496442.0,1784496443.0,1,0.0,1.0,0.0,0.0,1.0,1.0,9055.0,0.0,0.019,0.0,benign
192.168.56.101,1784496446.0,1784496447.0,1,0.0,1.0,0.0,0.0,1.0,1.0,9055.0,0.0,0.02,0.0,benign
192.168.56.101,1784496454.0,1784496455.0,29,0.0,1.0,0.0,0.0,1.0,1.0,6506.517241379311,14271.506555131138,0.0034827586206896,0.0067498183355128,benign
192.168.56.101,1784496455.0,1784496456.0,2,0.0,1.0,0.0,0.0,1.0,1.0,1005.0,145.0,0.0005,0.0005,benign
192.168.56.101,1784496458.0,1784496459.0,1,0.0,1.0,0.0,0.0,1.0,1.0,9055.0,0.0,0.012,0.0,benign
192.168.56.101,1784496460.0,1784496461.0,7,0.1428571428571428,0.8571428571428571,0.0,0.0,1.0,1.0,292.57142857142856,163.28927630160544,0.0008571428571428,0.0006388765649999,benign
192.168.56.101,1784496461.0,1784496462.0,1,0.0,1.0,0.0,0.0,1.0,1.0,9055.0,0.0,0.02,0.0,benign
192.168.56.101,1784496467.0,1784496468.0,1,0.0,1.0,0.0,0.0,1.0,1.0,9055.0,0.0,0.016,0.0,benign
192.168.56.101,1784496468.0,1784496469.0,30,0.0,1.0,0.0,0.0,1.0,1.0,6054.8,14088.48264458123,0.0031666666666666,0.0061594552428675,benign
192.168.56.101,1784496472.0,1784496473.0,1,0.0,1.0,0.0,0.0,1.0,1.0,9055.0,0.0,0.02,0.0,benign
192.168.56.101,1784496476.0,1784496477.0,7,0.1428571428571428,0.8571428571428571,0.0,0.0,1.0,1.0,292.57142857142856,163.28927630160544,0.0014285714285714,0.0004948716593053,benign
192.168.56.101,1784496478.0,1784496479.0,1,0.0,1.0,0.0,0.0,1.0,1.0,682.0,0.0,0.002,0.0,benign
192.168.56.101,1784496483.0,1784496484.0,10,0.0,1.0,0.0,0.0,1.0,1.0,4502.2,5597.2857672268265,0.0083,0.0199351448452224,benign
192.168.56.101,1784496484.0,1784496485.0,21,0.0,1.0,0.0,0.0,1.0,1.0,6937.0,16344.23727772196,0.0032857142857142,0.0067056682287865,benign
192.168.56.101,1784496485.0,1784496486.0,6,0.0,1.0,0.0,0.0,1.0,1.0,299.3333333333333,175.46287989834835,0.001,0.0005773502691896,benign
192.168.56.101,1784496486.0,1784496487.0,1,1.0,0.0,0.0,0.0,1.0,1.0,252.0,0.0,0.001,0.0,benign
192.168.56.101,1784496489.0,1784496490.0,1,0.0,1.0,0.0,0.0,1.0,1.0,9055.0,0.0,0.021,0.0,benign
192.168.56.101,1784496491.0,1784496492.0,1,0.0,1.0,0.0,0.0,1.0,1.0,9055.0,0.0,0.018,0.0,benign
192.168.56.101,1784496495.0,1784496496.0,8,0.0,1.0,0.0,0.0,1.0,1.0,4750.75,6232.674822056739,0.003375,0.0041212103804586,benign
192.168.56.101,1784496496.0,1784496497.0,23,0.0,1.0,0.0,0.0,1.0,1.0,6638.826086956522,15647.394912092286,0.003,0.0062762492260765,benign
192.168.56.101,1784496499.0,1784496500.0,1,0.0,1.0,0.0,0.0,1.0,1.0,9055.0,0.0,0.022,0.0,benign
192.168.56.101,1784496502.0,1784496503.0,1,0.0,1.0,0.0,0.0,1.0,1.0,9055.0,0.0,0.02,0.0,benign
192.168.56.101,1784496505.0,1784496506.0,1,0.0,1.0,0.0,0.0,1.0,1.0,9055.0,0.0,0.016,0.0,benign
192.168.56.101,1784496510.0,1784496511.0,2,0.0,1.0,0.0,0.0,1.0,1.0,5541.0,3514.0,0.0085,0.0075,benign
192.168.56.101,1784496511.0,1784496512.0,29,0.0,1.0,0.0,0.0,1.0,1.0,6193.689655172414,14309.1214027095,0.0029310344827586,0.0057170708347759,benign
192.168.56.101,1784496514.0,1784496515.0,1,0.0,1.0,0.0,0.0,1.0,1.0,9055.0,0.0,0.019,0.0,benign
192.168.56.101,1784496516.0,1784496517.0,7,0.1428571428571428,0.8571428571428571,0.0,0.0,1.0,1.0,292.57142857142856,163.28927630160544,0.0012857142857142,0.0004517539514526,benign
192.168.56.101,1784496521.0,1784496522.0,28,0.0,1.0,0.0,0.0,1.0,1.0,6525.107142857143,14523.774188105925,0.0031071428571428,0.0070322689171027,benign
192.168.56.101,1784496522.0,1784496523.0,3,0.0,1.0,0.0,0.0,1.0,1.0,2665.333333333333,2351.048749435499,0.001,0.0,benign
192.168.56.101,1784496525.0,1784496526.0,7,0.1428571428571428,0.8571428571428571,0.0,0.0,1.0,1.0,292.57142857142856,163.28927630160544,0.0012857142857142,0.0008806305718527,benign
192.168.56.101,1784496526.0,1784496527.0,1,0.0,1.0,0.0,0.0,1.0,1.0,9055.0,0.0,0.014,0.0,benign
192.168.56.101,1784496530.0,1784496531.0,1,0.0,1.0,0.0,0.0,1.0,1.0,9055.0,0.0,0.021,0.0,benign
192.168.56.101,1784496534.0,1784496535.0,1,0.0,1.0,0.0,0.0,1.0,1.0,9055.0,0.0,0.021,0.0,benign
192.168.56.101,1784496538.0,1784496539.0,1,0.0,1.0,0.0,0.0,1.0,1.0,682.0,0.0,0.002,0.0,benign
192.168.56.101,1784496542.0,1784496543.0,7,0.1428571428571428,0.8571428571428571,0.0,0.0,1.0,1.0,292.57142857142856,163.28927630160544,0.0011428571428571,0.0006388765649999,benign
192.168.56.101,1784496544.0,1784496545.0,31,0.0,1.0,0.0,0.0,1.0,1.0,6151.580645161291,13869.519999541795,0.0033225806451612,0.006234074403057,benign
192.168.56.101,1784496547.0,1784496548.0,1,0.0,1.0,0.0,0.0,1.0,1.0,9055.0,0.0,0.015,0.0,benign
192.168.56.101,1784496551.0,1784496552.0,1,0.0,1.0,0.0,0.0,1.0,1.0,9055.0,0.0,0.015,0.0,benign
192.168.56.101,1784496553.0,1784496554.0,1,0.0,1.0,0.0,0.0,1.0,1.0,9055.0,0.0,0.02,0.0,benign
192.168.56.101,1784496555.0,1784496556.0,1,0.0,1.0,0.0,0.0,1.0,1.0,9055.0,0.0,0.019,0.0,benign
192.168.56.101,1784496560.0,1784496561.0,20,0.0,1.0,0.0,0.0,1.0,1.0,7377.1,17097.455550168863,0.0037,0.0060008332754709,benign
192.168.56.101,1784496561.0,1784496562.0,11,0.0,1.0,0.0,0.0,1.0,1.0,3923.363636363637,1709.83769951352,0.001,2.1684043449710093e-19,benign
192.168.56.101,1784496564.0,1784496565.0,7,0.1428571428571428,0.8571428571428571,0.0,0.0,1.0,1.0,292.57142857142856,163.28927630160544,0.001,0.0,benign
192.168.56.101,1784496567.0,1784496568.0,1,0.0,1.0,0.0,0.0,1.0,1.0,682.0,0.0,0.002,0.0,benign
192.168.56.101,1784496570.0,1784496571.0,1,0.0,1.0,0.0,0.0,1.0,1.0,9055.0,0.0,0.02,0.0,benign
192.168.56.101,1784496575.0,1784496576.0,7,0.1428571428571428,0.8571428571428571,0.0,0.0,1.0,1.0,292.57142857142856,163.28927630160544,0.001,0.0,benign
192.168.56.101,1784496578.0,1784496579.0,1,0.0,1.0,0.0,0.0,1.0,1.0,682.0,0.0,0.003,0.0,benign
192.168.56.101,1784496582.0,1784496583.0,31,0.0,1.0,0.0,0.0,1.0,1.0,6151.580645161291,13869.5199995418,0.0032903225806451,0.0049526372797706,benign
192.168.56.101,1784496586.0,1784496587.0,1,0.0,1.0,0.0,0.0,1.0,1.0,9055.0,0.0,0.019,0.0,benign
192.168.56.101,1784496589.0,1784496590.0,1,0.0,1.0,0.0,0.0,1.0,1.0,9055.0,0.0,0.017,0.0,benign
192.168.56.101,1784496591.0,1784496592.0,1,0.0,1.0,0.0,0.0,1.0,1.0,9055.0,0.0,0.018,0.0,benign
192.168.56.101,1784496599.0,1784496600.0,31,0.0,1.0,0.0,0.0,1.0,1.0,6151.580645161291,13869.5199995418,0.0031290322580645,0.0052960236787056,benign
192.168.56.101,1784496600.0,1784496601.0,1,0.0,1.0,0.0,0.0,1.0,1.0,9055.0,0.0,0.018,0.0,benign
192.168.56.101,1784496604.0,1784496605.0,1,0.0,1.0,0.0,0.0,1.0,1.0,9055.0,0.0,0.014,0.0,benign
192.168.56.101,1784496606.0,1784496607.0,1,0.0,1.0,0.0,0.0,1.0,1.0,9055.0,0.0,0.013,0.0,benign
192.168.56.101,1784496608.0,1784496609.0,7,0.1428571428571428,0.8571428571428571,0.0,0.0,1.0,1.0,292.57142857142856,163.28927630160544,0.0011428571428571,0.0003499271061118,benign
192.168.56.101,1784496610.0,1784496611.0,1,0.0,1.0,0.0,0.0,1.0,1.0,9055.0,0.0,0.018,0.0,benign
192.168.56.101,1784496617.0,1784496618.0,31,0.0,1.0,0.0,0.0,1.0,1.0,6151.580645161291,13869.5199995418,0.0031612903225806,0.005978978088288,benign
192.168.56.101,1784496618.0,1784496619.0,1,0.0,1.0,0.0,0.0,1.0,1.0,9055.0,0.0,0.015,0.0,benign
192.168.56.101,1784496621.0,1784496622.0,1,0.0,1.0,0.0,0.0,1.0,1.0,9055.0,0.0,0.014,0.0,benign
192.168.56.101,1784496625.0,1784496626.0,1,0.0,1.0,0.0,0.0,1.0,1.0,9055.0,0.0,0.055,0.0,benign
192.168.56.101,1784496629.0,1784496630.0,1,0.0,1.0,0.0,0.0,1.0,1.0,9055.0,0.0,0.025,0.0,benign
192.168.56.101,1784496637.0,1784496638.0,11,0.0,1.0,0.0,0.0,1.0,1.0,4342.818181818182,5360.549171632288,0.0039090909090909,0.0058690954151159,benign
192.168.56.101,1784496638.0,1784496639.0,20,0.0,1.0,0.0,0.0,1.0,1.0,7146.4,16720.34632536061,0.00275,0.0062679741543819,benign
192.168.56.101,1784496642.0,1784496643.0,1,0.0,1.0,0.0,0.0,1.0,1.0,9055.0,0.0,0.026,0.0,benign
192.168.56.101,1784496645.0,1784496646.0,1,0.0,1.0,0.0,0.0,1.0,1.0,9055.0,0.0,0.027,0.0,benign
192.168.56.101,1784496648.0,1784496649.0,1,0.0,1.0,0.0,0.0,1.0,1.0,9055.0,0.0,0.025,0.0,benign
192.168.56.101,1784496650.0,1784496651.0,7,0.1428571428571428,0.8571428571428571,0.0,0.0,1.0,1.0,292.57142857142856,163.28927630160544,0.0011428571428571,0.0006388765649999,benign
192.168.56.101,1784496652.0,1784496653.0,1,0.0,1.0,0.0,0.0,1.0,1.0,9055.0,0.0,0.019,0.0,benign
192.168.56.101,1784496657.0,1784496658.0,29,0.0,1.0,0.0,0.0,1.0,1.0,6506.517241379311,14271.506555131138,0.0035172413793103,0.0073934765731885,benign
192.168.56.101,1784496658.0,1784496659.0,2,0.0,1.0,0.0,0.0,1.0,1.0,1005.0,145.0,0.001,0.0,benign
192.168.56.101,1784496659.0,1784496660.0,1,0.0,1.0,0.0,0.0,1.0,1.0,9055.0,0.0,0.016,0.0,benign
192.168.56.101,1784496664.0,1784496665.0,7,0.1428571428571428,0.8571428571428571,0.0,0.0,1.0,1.0,292.57142857142856,163.28927630160544,0.0015714285714285,0.0010497813183356,benign
192.168.56.101,1784496665.0,1784496666.0,1,0.0,1.0,0.0,0.0,1.0,1.0,9055.0,0.0,0.029,0.0,benign
192.168.56.101,1784496667.0,1784496668.0,1,0.0,1.0,0.0,0.0,1.0,1.0,9055.0,0.0,0.02,0.0,benign
192.168.56.101,1784496669.0,1784496670.0,1,0.0,1.0,0.0,0.0,1.0,1.0,9055.0,0.0,0.023,0.0,benign
192.168.56.101,1784496679.0,1784496680.0,4,0.0,1.0,0.0,0.0,1.0,1.0,318.75,211.9662414159387,0.00125,0.0004330127018922,benign
192.168.56.101,1784496680.0,1784496681.0,3,0.3333333333333333,0.6666666666666666,0.0,0.0,1.0,1.0,257.6666666666667,13.27487183449325,0.001,0.0,benign
192.168.56.101,1784496681.0,1784496682.0,16,0.0,1.0,0.0,0.0,1.0,1.0,8548.5,18917.35734715608,0.008625,0.0165184555876147,benign
192.168.56.101,1784496682.0,1784496683.0,15,0.0,1.0,0.0,0.0,1.0,1.0,3594.866666666667,1778.2620304355848,0.0018,0.0008326663997864,benign
192.168.56.101,1784496686.0,1784496687.0,1,0.0,1.0,0.0,0.0,1.0,1.0,9055.0,0.0,0.02,0.0,benign
192.168.56.101,1784496689.0,1784496690.0,1,0.0,1.0,0.0,0.0,1.0,1.0,9055.0,0.0,0.051,0.0,benign
192.168.56.101,1784496695.0,1784496696.0,1,0.0,1.0,0.0,0.0,1.0,1.0,9055.0,0.0,0.025,0.0,benign
192.168.56.101,1784496702.0,1784496703.0,7,0.1428571428571428,0.8571428571428571,0.0,0.0,1.0,1.0,292.57142857142856,163.28927630160544,0.0014285714285714,0.0004948716593053,benign
